status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Développeur logiciel stagiaire, doctorat, été 2025",Google,"Waterloo, ON",2025-01-22,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au28 février 2025, mais…","Job types: Full-time, Internship / Co-op
Job types cc: Full-time, Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=de9a88afa9d120c3,IndeedScraperCANEng_de9a88afa9d120c3,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Director of Data Analytics,CarePartners,"Waterloo, ON",2025-01-22,"Who We Are: CarePartners is one of Ontario’s largest accredited home health care providers, providing nursing, personal support, therapy and rehabilitation support services for patients of all ages…","Job types: Full-time
Benefits: RRSP match, Paid time off, Life insurance
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=2d844cbaa94b91d1,IndeedScraperCANEng_2d844cbaa94b91d1,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Principal Embedded Software Engineer,onsemi,"Waterloo, ON",2025-01-22,"At onsemi , we help improve lives through silicon and software solutions every day. Our intelligent power and sensing technologies solve the world’s most complex challenges and lead the way in…","Job types: Full-time
Benefits: Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=b06341c829110148,IndeedScraperCANEng_b06341c829110148,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Control Engineer,Canadian Solar,"Guelph, ON N1K 1E6",2025-01-22,"COMPANY SUMMARY: e-STORAGE is a subsidiary of Canadian Solar and a leading company specializing in the design, manufacturing, and integration of battery energy storage systems for utility-scale…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=fcf8d19862eab050,IndeedScraperCANEng_fcf8d19862eab050,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Technical Support Specialist - Cyber Security,OpenText,"Waterloo, ON N2L 0A1",2025-02-19,"OPENTEXT OpenText is a global leader in information management, where innovation, creativity, and collaboration are the key components of our corporate culture. As a member of our team, you will…",Schedules: On call,https://www.indeed.ca/m/viewjob?jk=473af3371ed7ed0d,IndeedScraperCANEng_473af3371ed7ed0d,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Gestionnaire principal, Renseignements sur les risques et analyses",Manulife,"Waterloo, ON",2025-02-14,"locations Waterloo, Ontario Toronto, Ontario Montreal, Quebec time type Temps plein posted on Publié il y a 8 jour(s) time left to apply Date de fin : 1 mars 2025 (Il reste 7 jours pour postuler)…","Job types: Full-time
Remote: Hybrid work
Benefits: Employee stock purchase plan, Dental care, Vision care, Life insurance
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=0cd1690f52baf6b7,IndeedScraperCANEng_0cd1690f52baf6b7,IndeedScraperCANEng,Python,CANADA_ENGLISH,$80700 - $145260 yearly,TEMPORARILY_REMOTE
NEW,Data Analyst (AWS Developer),Sun Life,"Waterloo, ON",2025-02-18,"You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their…",Remote: Hybrid work,https://www.indeed.ca/m/viewjob?jk=efe91c66604fea6a,IndeedScraperCANEng_efe91c66604fea6a,IndeedScraperCANEng,Python,CANADA_ENGLISH,$58000 - $97000 yearly,TEMPORARILY_REMOTE
NEW,Senior Embedded Software Developer,Nuvation Research Corporation,"Waterloo, ON",2025-01-22,"JOB SUMMARY Nuvation is looking for a talented, innovative Senior Embedded Software Developer, who successfully combines architecture skills, technical expertise, and project leadership. This is a…","Job types: Full-time
Benefits: Dental care, Vision care
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=ddb1a9e729080a32,IndeedScraperCANEng_ddb1a9e729080a32,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,R&D Verification & Automation Engineer (Hybrid),Ansys,"Waterloo, ON N2J 4G8",2025-01-24,"Requisition #: 15944 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",,https://www.indeed.ca/m/viewjob?jk=47c984eb16ccfdb9,IndeedScraperCANEng_47c984eb16ccfdb9,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Field Solutions Architect II, GenAI, Google Cloud",Google,"Waterloo, ON",2025-01-30,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Toronto, ON, Canada; Montreal, QC, Canada; Waterloo, ON, Canada. Minimum…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=1291e0582487c204,IndeedScraperCANEng_1291e0582487c204,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,R&D Verification Engineer II - Remote (Canada),Ansys,"Waterloo, ON",2025-02-20,"Requisition #: 16248 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",Remote: Remote,https://www.indeed.ca/m/viewjob?jk=8d3eefd77c9f6c38,IndeedScraperCANEng_8d3eefd77c9f6c38,IndeedScraperCANEng,Python,CANADA_ENGLISH,,FULLY_REMOTE
NEW,Wind Engineer/ EIT Buildings and Structures,RWDI,"Guelph, ON",2025-01-22,Client First: Working with our clients and your colleagues at RWDI to solve challenging engineering problems related to wind loads and effects on structures.,"Job types: Full-time
Benefits: RRSP match
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=e295cf0727a02c85,IndeedScraperCANEng_e295cf0727a02c85,IndeedScraperCANEng,Python,CANADA_ENGLISH,$65000 - $80000 yearly,UNKNOWN
NEW,"Internship: Power Systems Engineering (4-12 months) - Kitchener, ON, Canada",Eaton,"Kitchener, ON N2E 3Z5",2025-01-22,"Eaton’s Electrical Sector, Americas Power Controls Systems (PCS) division is currently seeking a Power Systems Engineering (PSE) Intern. This position is scheduled to start May 5, 2025. The hourly…","Job types: Internship / Co-op
Job types cc: Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=fca70b97383b9ea4,IndeedScraperCANEng_fca70b97383b9ea4,IndeedScraperCANEng,Python,CANADA_ENGLISH,$22 - $26 hourly,UNKNOWN
NEW,R&D Verification Engineer II,Ansys,"Waterloo, ON N2J 4G8",2025-02-14,"Requisition #: 15935 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",,https://www.indeed.ca/m/viewjob?jk=99f68a4778ec8fb5,IndeedScraperCANEng_99f68a4778ec8fb5,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
